"timestamp,aqi,pm2_5,pm10,temperature,humidity,wind_speed",timestamp,aqi,pm2_5,pm10,temperature,humidity,wind_speed
"2024-10-15 01:00:43,4.0,58.58,84.51,28.9,51,2.06",,,,,,,
,2024-12-01 11:11:38,5.0,114.1,183.19,28.9,23.0,2.06
,2024-12-01 16:11:38,5.0,102.52,162.38,29.9,23.0,3.09
,2024-12-01 21:11:38,5.0,299.96,371.51,21.9,49.0,2.06
,2024-12-02 02:11:38,5.0,163.37,240.86,17.9,59.0,1.54
,2024-12-02 07:11:38,5.0,229.3,326.29,15.9,63.0,2.06
,2024-12-02 12:11:38,5.0,84.78,133.03,29.9,25.0,3.09
,2024-12-02 17:11:38,5.0,98.5,146.94,28.9,24.0,2.06
,2024-12-02 22:11:38,5.0,332.71,433.99,22.9,43.0,2.06
,2024-12-03 03:11:38,5.0,108.65,184.08,18.9,63.0,3.09
,2024-12-03 08:11:38,5.0,131.02,197.68,22.9,53.0,3.09
,2024-12-03 13:11:38,4.0,70.53,122.86,28.9,26.0,3.09
,2024-12-03 18:11:38,4.0,71.75,118.88,25.9,34.0,2.06
,2024-12-03 23:11:38,5.0,105.99,168.39,22.9,46.0,5.14
,2024-12-04 04:11:38,4.0,73.84,117.79,20.9,52.0,3.09
,2024-12-04 09:11:38,5.0,101.0,171.77,24.9,44.0,5.66
,2024-12-04 14:11:38,4.0,66.5,105.15,29.9,26.0,6.69
,2024-12-04 19:11:38,5.0,101.06,163.52,22.9,43.0,4.63
,2024-12-05 00:11:38,5.0,190.3,279.41,17.9,59.0,2.06
,2024-12-05 05:11:38,5.0,163.65,235.29,14.9,67.0,3.09
,2024-12-05 10:11:38,5.0,467.92,608.25,25.9,31.0,2.06
,2024-12-05 15:11:38,3.0,47.43,80.11,28.9,30.0,4.12
,2024-12-05 20:11:38,5.0,96.78,149.37,21.9,60.0,1.03
,2024-12-06 01:11:38,5.0,231.9,298.78,17.9,82.0,2.57
,2024-12-06 06:11:38,5.0,210.37,264.81,15.9,88.0,2.06
,2024-12-06 11:11:38,5.0,263.72,352.5,26.9,34.0,2.06
,2024-12-06 16:11:38,5.0,139.66,201.42,27.9,42.0,4.12
,2024-12-06 21:11:38,5.0,179.36,243.05,18.9,45.0,1.54
,2024-12-07 02:11:38,5.0,180.41,246.2,15.9,72.0,2.57
,2024-12-07 07:11:38,5.0,104.66,161.72,13.9,77.0,1.54
,2024-12-07 12:11:38,4.0,54.74,84.69,27.9,24.0,4.12
,2024-12-07 17:11:38,4.0,64.25,103.41,26.9,14.0,1.54
,2024-12-07 22:11:38,5.0,270.58,332.36,18.9,32.0,2.06
,2024-12-08 03:11:38,2.0,15.53,37.52,12.9,47.0,2.57
,2024-12-08 08:11:38,3.0,47.26,75.78,14.9,36.0,1.54
,2024-12-08 13:11:38,3.0,29.9,55.29,28.9,6.0,1.03
,2024-12-08 18:11:38,3.0,29.66,74.0,23.2,12.0,5.83
,2024-12-08 23:11:38,4.0,58.78,115.87,16.9,31.0,1.54
,2024-12-09 04:11:38,4.0,72.64,125.65,10.9,43.0,2.06
,2024-12-09 09:11:38,5.0,273.36,374.44,19.9,13.0,3.6
,2024-12-09 14:11:38,5.0,142.9,236.99,26.9,8.0,3.09
,2024-12-09 19:11:38,5.0,315.46,424.01,18.9,30.0,1.54
,2024-12-10 00:11:38,5.0,129.78,196.87,13.9,30.0,2.06
,2024-12-10 05:11:38,4.0,67.06,107.61,9.9,37.0,2.06
,2024-12-10 10:11:38,5.0,130.58,215.35,21.9,20.0,3.6
,2024-12-10 15:11:38,3.0,49.4,89.45,25.9,12.0,4.63
,2024-12-10 20:11:38,5.0,383.52,502.75,15.9,31.0,1.54
,2024-12-11 01:11:38,5.0,171.78,259.82,11.9,43.0,0.0
,2024-12-11 06:11:38,5.0,136.74,199.64,8.9,57.0,2.06
,2024-12-11 11:11:38,5.0,108.7,172.98,23.9,20.0,2.57
,2024-12-11 16:11:38,5.0,89.56,141.29,25.9,19.0,4.12
,2024-12-11 21:11:38,5.0,324.25,424.87,18.9,45.0,2.06
,2024-12-12 02:11:38,5.0,94.6,144.45,13.9,41.0,3.09
,2024-12-12 07:11:38,5.0,156.77,215.95,11.9,35.0,1.54
,2024-12-12 12:11:38,5.0,83.69,143.78,23.9,15.0,3.09
,2024-12-12 17:11:38,3.0,41.67,86.52,23.9,13.0,2.06
,2024-12-12 22:11:38,5.0,83.78,132.02,14.9,29.0,3.09
,2024-12-13 03:11:38,3.0,36.12,66.55,11.9,28.0,3.09
,2024-12-13 08:11:38,4.0,74.01,126.44,15.9,27.0,2.57
,2024-12-13 13:11:38,4.0,66.34,123.01,23.9,13.0,7.2
,2024-12-13 18:11:38,5.0,77.37,148.29,19.9,19.0,3.09
,2024-12-13 23:11:38,5.0,121.14,190.44,16.9,29.0,3.09
,2024-12-14 04:11:38,5.0,94.17,142.99,13.9,30.0,3.09
,2024-12-14 09:11:38,5.0,124.61,200.32,18.9,24.0,4.63
,2024-12-14 14:11:38,4.0,69.09,112.71,24.9,13.0,4.63
,2024-12-14 19:11:38,5.0,120.81,191.63,16.9,25.0,3.09
,2024-12-15 00:11:38,5.0,115.33,173.81,12.9,38.0,1.54
,2024-12-15 05:11:38,5.0,109.53,151.94,9.9,43.0,0.0
,2024-12-15 10:11:38,5.0,188.56,256.57,21.9,16.0,2.06
,2024-12-15 15:11:38,5.0,77.93,110.66,26.9,11.0,2.06
,2024-12-15 20:11:38,5.0,283.39,339.59,15.9,51.0,2.06
,2024-12-16 01:11:38,5.0,223.83,302.57,12.9,44.0,2.57
,2024-12-16 06:11:38,5.0,165.43,218.79,9.9,46.0,2.57
,2024-12-16 11:11:38,5.0,146.55,205.82,23.9,16.0,2.06
,2024-12-16 16:11:38,5.0,89.47,137.62,27.9,10.0,1.54
,2024-12-16 21:11:38,5.0,571.58,731.27,15.9,55.0,2.57
,2024-12-17 02:11:38,5.0,192.21,269.55,12.9,50.0,2.57
,2024-12-17 07:11:38,5.0,249.58,317.98,10.9,50.0,2.06
,2024-12-17 12:11:38,5.0,224.56,343.23,25.9,14.0,4.12
,2024-12-17 17:11:38,5.0,268.57,387.73,23.9,19.0,3.09
,2024-12-17 22:11:38,5.0,93.7,175.15,17.9,27.0,3.09
,2024-12-18 03:11:38,3.0,45.68,88.95,13.9,35.0,3.09
,2024-12-18 08:11:38,5.0,103.69,163.37,16.9,29.0,4.12
,2024-12-18 13:11:38,4.0,52.38,85.53,25.9,12.0,1.54
,2024-12-18 18:11:38,5.0,171.75,232.19,19.9,21.0,2.06
,2024-12-18 23:11:38,5.0,178.53,251.9,12.9,35.0,0.0
,2024-12-19 04:11:38,5.0,109.57,146.87,10.9,40.0,2.06
,2024-12-19 09:11:38,5.0,259.3,336.42,19.9,26.0,2.06
,2024-12-19 14:11:38,4.0,55.67,94.13,25.9,17.0,2.57
,2024-12-19 19:11:38,4.0,65.79,109.23,18.9,32.0,1.54
,2024-12-20 00:11:38,5.0,176.63,237.23,13.9,35.0,3.09
